word,surprise,anger,sadness,happy,fear
dogs ,0.020146523,0.009157511,0.012820514,0.038461544,0.056776565
dollar ,0.026785716,0.026785716,0.008928572,0.0625,0.026785716
domestic ,0.017857144,0.125,0.017857144,0.017857144,0.017857144
don ,0.027636742,0.026367413,0.038945306,0.020482345,0.029598432
dot ,0.029761905,0.053571433,0.005952382,0.065476194,0.005952382
draft ,0.040178575,0.013392858,0.03125,0.040178575,0.03125
dream ,0.055680543,0.014060743,0.0208099,0.0208099,0.03318335
dress ,0.040983606,0.017564405,0.019906323,0.04800937,0.012880562
drink ,0.026967932,0.032798834,0.04008746,0.015306124,0.015306124
drivers ,0.010204082,0.06462585,0.003401361,0.023809526,0.030612247
drives ,0.05,0.035714287,0.007142858,0.035714287,0.007142858
driving ,0.019541781,0.031671163,0.014150944,0.030323451,0.04110513
drop ,0.025510205,0.028911566,0.045918368,0.015306124,0.032312926
drugs ,0.032467537,0.00909091,0.00909091,0.00909091,0.01948052
dry ,0.02813853,0.032467537,0.036796536,0.023809526,0.01948052
duty ,0.02435065,0.030844158,0.01461039,0.060064934,0.01461039
dynamic ,0.030612247,0.030612247,0.010204082,0.071428575,0.030612247
earlier ,0.018409425,0.03902798,0.031664215,0.021354934,0.033136968
easier ,0.02443609,0.046992477,0.020676693,0.016917294,0.039473683
easy ,1.14E-04,9.93E-05,1.09E-04,7.51E-05,6.54E-05
eat ,0.017151542,0.021927921,0.06969171,0.009335649,0.007164568
economic ,0.06428572,0.007142858,0.021428574,0.06428572,0.007142858
economics ,0.032467537,0.032467537,0.006493507,0.05844156,0.01948052
editorial ,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287
eight ,0.034161493,0.015527951,0.059006214,0.027950311,0.015527951
either ,0.033458646,0.02894737,0.024436092,0.020676695,0.030451128
election ,0.003032345,0.001684636,0.001684636,3.37E-04,0.1371294
electrical ,0.042857148,0.071428575,0.014285715,0.042857148,0.014285715
element ,0.032467537,0.006493507,0.045454547,0.032467537,0.045454547
em ,0.04464286,0.0625,0.026785716,0.008928572,0.026785716
emergency ,0.003631961,0.003631961,0.006053269,0.003631961,0.12953995
empty ,0.021193095,0.014913659,0.07927787,0.011773941,0.018053377
ended ,0.02246544,0.021313366,0.036290325,0.032834105,0.029377881
ends ,0.02813853,0.041125543,0.032467537,0.015151517,0.032467537
energy ,0.018954512,0.006185156,0.070031926,0.03451716,0.01376696
enjoy ,0.030942744,0.017640255,0.02689416,0.046558704,0.02168884
enter ,3.74E-05,4.32E-05,1.44E-05,1.12E-04,7.20E-05
environment ,6.60E-05,2.58E-05,4.30E-05,5.45E-05,6.02E-05
equal ,0.021428574,0.021428574,0.035714287,0.05,0.035714287
equity ,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287
